River,Site,Date,AFDM (mg),Shell length (mm),Average DO (mg/L)
Rappahannock,S5,"June 7, 2004",54,22.4,3.50
Rappahannock,S5,"June 7, 2004",106,22.4,3.50
Rappahannock,S8,"June 7, 2004",2,9.6,3.30
Rappahannock,D2,"November 19, 2004",1,7.0,0.60
Rappahannock,D3,"November 19, 2004",6,14.4,2.70
Rappahannock,M13,"November 19, 2004",12,17.8,4.60
Rappahannock,M13,"November 19, 2004",32,20.0,4.60
Rappahannock,M5,"November 19, 2004",38,20.8,2.30
Rappahannock,M5,"November 19, 2004",22,21.0,2.30
Rappahannock,M5,"November 19, 2004",35,21.4,2.30
Rappahannock,M5,"November 19, 2004",45,22.0,2.30
Rappahannock,M5,"November 19, 2004",45,22.0,2.30
Rappahannock,M5,"November 19, 2004",37,23.0,2.30
Rappahannock,M5,"November 19, 2004",42,23.0,2.30
Rappahannock,M5,"November 19, 2004",42,23.0,2.30
Rappahannock,M7,"November 19, 2004",6,11.0,1.50
Rappahannock,M7,"November 19, 2004",8,12.0,1.50
Rappahannock,M9,"November 19, 2004",13,14.0,3.60
Rappahannock,M9,"November 19, 2004",11,16.2,3.60
Rappahannock,M9,"November 19, 2004",22,18.3,3.60
Rappahannock,M9,"November 19, 2004",24,19.0,3.60
Rappahannock,M9,"November 19, 2004",21,20.0,3.60
Rappahannock,M9,"November 19, 2004",10,20.3,3.60
Rappahannock,S0,"November 19, 2004",20,20.0,6.70
Rappahannock,S0,"November 19, 2004",34,21.0,6.70
Rappahannock,S0,"November 19, 2004",29,22.2,6.70
Rappahannock,S0,"November 19, 2004",39,22.3,6.70
Rappahannock,S0,"November 19, 2004",25,22.7,6.70
Rappahannock,S0,"November 19, 2004",44,23.8,6.70
Rappahannock,S0,"November 19, 2004",34,24.0,6.70
Rappahannock,S0,"November 19, 2004",52,24.0,6.70
Rappahannock,S0,"November 19, 2004",35,24.2,6.70
Rappahannock,S0,"November 19, 2004",45,24.9,6.70
Rappahannock,S0,"November 19, 2004",38,25.0,6.70
Rappahannock,S0,"November 19, 2004",135,31.9,6.70
Rappahannock,S1,"November 19, 2004",35,21.9,4.50
Rappahannock,S1,"November 19, 2004",58,22.0,4.50
Rappahannock,S1,"November 19, 2004",63,26.1,4.50
Rappahannock,S10,"November 19, 2004",22,22.0,5.00
Rappahannock,S10,"November 19, 2004",27,22.3,5.00
Rappahannock,S10,"November 19, 2004",29,25.6,5.00
Rappahannock,S10,"November 19, 2004",33,25.7,5.00
Rappahannock,S10,"November 19, 2004",32,26.0,5.00
Rappahannock,S12,"November 19, 2004",24,21.5,4.50
Rappahannock,S12,"November 19, 2004",32,22.4,4.50
Rappahannock,S12,"November 19, 2004",31,23.0,4.50
Rappahannock,S12,"November 19, 2004",37,24.0,4.50
Rappahannock,S16,"November 19, 2004",3,10.1,4.70
Rappahannock,S16,"November 19, 2004",18,20.5,4.70
Rappahannock,S4,"November 19, 2004",48,23.0,3.00
Rappahannock,S4,"November 19, 2004",25,18.7,3.00
Rappahannock,S4,"November 19, 2004",17,20.1,3.00
Rappahannock,S4,"November 19, 2004",19,22.0,3.00
Rappahannock,S4,"November 19, 2004",32,22.0,3.00
Rappahannock,S4,"November 19, 2004",33,23.0,3.00
Rappahannock,S4,"November 19, 2004",39,23.4,3.00
Rappahannock,S4,"November 19, 2004",25,23.6,3.00
Rappahannock,S4,"November 19, 2004",32,23.9,3.00
Rappahannock,S4,"November 19, 2004",42,24.1,3.00
Rappahannock,S4,"November 19, 2004",60,24.6,3.00
Rappahannock,S4,"November 19, 2004",39,25.0,3.00
Rappahannock,S4,"November 19, 2004",54,25.1,3.00
Rappahannock,S4,"November 19, 2004",48,25.8,3.00
Rappahannock,S4,"November 19, 2004",47,26.1,3.00
Rappahannock,S4,"November 19, 2004",59,27.6,3.00
Rappahannock,S4,"November 19, 2004",84,29.8,3.00
Rappahannock,S4,"November 19, 2004",86,30.3,3.00
Rappahannock,S4,"November 19, 2004",83,31.2,3.00
Rappahannock,S4,"November 19, 2004",315,36.0,3.00
Rappahannock,S5,"November 19, 2004",9,14.1,3.50
Rappahannock,S5,"November 19, 2004",18,19.1,3.50
Rappahannock,S5,"November 19, 2004",33,19.9,3.50
Rappahannock,S5,"November 19, 2004",53,24.9,3.50
Rappahannock,S5,"November 19, 2004",51,25.1,3.50
Rappahannock,S5,"November 19, 2004",39,25.3,3.50
Rappahannock,S8,"November 19, 2004",6,12.3,3.30
Rappahannock,S9,"November 19, 2004",8,14.0,3.60
York,D1,"May 25, 2004",4,10.3,1.75
York,D1,"May 25, 2004",209,26.9,1.75
York,D10,"May 25, 2004",5,10.6,1.08
